scenario,duplicate_filter_window_s,method,feature,n_pairs,bonded_mean,nonbonded_mean,paired_difference_mean,paired_difference_sd,paired_difference_ci95_low,paired_difference_ci95_high,paired_effect_dz,ks_distance,wasserstein_distance
medium_flood,0,P3-NoPersist,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,P3-NoPersist,rl_path_rate,20,0.001833,0.0,0.001833,0.001701,0.001088,0.002579,1.077549,0.55,0.00184
medium_flood,0,P3-NoPersist,mean_aes_attempts,20,0.757833,42.756,-41.998167,1.089318,-42.475581,-41.520752,-38.554553,1.0,41.965493
medium_flood,0,P3-Persist,defer_rate,20,0.0,0.003333,-0.003333,0.0,-0.003333,-0.003333,0.0,1.0,0.003333
medium_flood,0,P3-Persist,mean_delay_ms,20,0.0,3.333333,-3.333333,0.0,-3.333333,-3.333333,0.0,1.0,3.333333
medium_flood,0,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,P3-Persist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
medium_flood,0,P3-Persist,reserve_path_rate,20,0.0,0.911333,-0.911333,0.001994,-0.912207,-0.910459,-457.050536,1.0,0.911385
medium_flood,0,P3-Persist,host_scan_path_rate,20,0.003333,0.085333,-0.082,0.001994,-0.082874,-0.081126,-41.114903,1.0,0.081949
medium_flood,0,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,P3-Persist,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,P3-Persist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,P3-Persist,mean_aes_attempts,20,1.68,502.32,-500.64,0.0,-500.64,-500.64,0.0,1.0,500.64
medium_flood,60,BudgetDoS,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,host_scan_path_rate,20,0.0,0.083333,-0.083333,0.0,-0.083333,-0.083333,0.0,1.0,0.083333
medium_flood,60,BudgetDoS,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,duplicate_filter_path_rate,20,0.916667,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,BudgetDoS,rl_path_rate,20,0.083333,0.0,0.083333,0.0,0.083333,0.083333,0.0,1.0,0.083333
medium_flood,60,BudgetDoS,mean_aes_attempts,20,0.083333,42.0,-41.916667,0.0,-41.916667,-41.916667,0.0,1.0,41.916667
medium_flood,60,P3-NoPersist,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-NoPersist,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-NoPersist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-NoPersist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
medium_flood,60,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
