suite,m8_experiment,m8_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,Random-RL,True,300,1500,139177049,53798.627368,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,0,1610,0,0,16701245.88,4128
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,AdaptiveRateLimit,True,300,1500,1261535,816.527508,0.597217,0,0.0,0.0,45339.84,0.402783,0,0,0,0,0,10,1042,247428,151384.2,64
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,BudgetDoS,True,300,1500,1261535,816.527508,0.597217,0,0.0,0.0,45339.84,0.402783,0,0,0,0,0,10,1042,247428,151384.2,4192
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,P3-NoPersist,True,300,1500,1260008,908.44124,0.536142,0,0.0,0.0,45319.68,0.464631,0,0,0,0,1368,11,62,22566,151200.96,5232
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,6832
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,Oracle-Offline,True,300,1500,2587,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,310.44,0
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,Random-RL,True,300,1500,139379656,54381.449863,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1587,0,0,16725558.72,4128
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,AdaptiveRateLimit,True,300,1500,1261536,816.0,0.603199,0.0,0.0,0.0,45339.84,0.396801,0,0,0,0,0,10,1017,247757,151384.32,64
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,BudgetDoS,True,300,1500,1261536,816.0,0.603199,0.0,0.0,0.0,45339.84,0.396801,0,0,0,0,0,10,1017,247757,151384.32,4192
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,P3-NoPersist,True,300,1500,1260008,800.513342,0.614124,0.0,0.0,0.0,45319.68,0.386266,0,0,0,0,1555,11,102,22459,151200.96,5232
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,6832
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,Oracle-Offline,True,300,1500,2563,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,307.56,0
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,Random-RL,True,300,1500,139207798,54124.338258,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1590,0,0,16704935.76,4128
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,AdaptiveRateLimit,True,300,1500,1261546,811.805663,0.604199,0.0,0.0,0.0,44976.96,0.395801,0,0,0,0,0,8,1018,247440,151385.52,64
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,BudgetDoS,True,300,1500,1260938,1327.303158,0.369362,0.0,0.0,0.0,44896.32,0.630638,0,0,0,0,0,12,1622,247444,151312.56,4192
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,P3-NoPersist,True,300,1500,1260008,923.759531,0.530327,0.0,0.0,0.0,44956.8,0.470062,0,0,0,0,1347,9,119,22514,151200.96,5232
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,6832
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,Oracle-Offline,True,300,1500,2572,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,308.64,0
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,Random-RL,True,300,1500,139847871,53316.001144,1.0,0,0.0,0.0,5052479.04,0.0,0,0,0,0,0,1648,0,0,16781744.52,4128
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,AdaptiveRateLimit,True,300,1500,1261528,819.706303,0.586733,0,0.0,0.0,45521.28,0.413267,0,0,0,0,0,11,1084,248361,151383.36,64
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,BudgetDoS,True,300,1500,1261528,819.706303,0.586733,0,0.0,0.0,45521.28,0.413267,0,0,0,0,0,11,1084,248361,151383.36,4192
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,P3-NoPersist,True,300,1500,1260007,778.262508,0.617232,0,0.0,0.0,45521.28,0.382768,0,0,0,0,1601,11,52,22620,151200.84,5232
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,6832
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,Oracle-Offline,True,300,1500,2623,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,314.76,0
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,Random-RL,True,300,1500,139289929,54346.44128,1.0,0,0.0,0.0,5033871.36,0.0,0,0,0,0,0,1602,0,0,16714791.48,4128
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,AdaptiveRateLimit,True,300,1500,1261539,815.474467,0.60359,0,0.0,0.0,45964.8,0.39641,0,0,0,0,0,8,1016,247416,151384.68,64
