suite,m11_experiment,m11_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,attack_rotation_s,persist_reserve,persist_k,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_attack_event_count,dup_removable_fraction,estimated_energy_uJ,sram_bytes
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260628,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260628,BudgetDoS,True,300,1500,1261458,859.303815,0.58556,0.0,0.0,0.0,46126.08,0.41444,0,0,0,0,0,10,1039,247884,250172.0,0.0,151374.96,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260628,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260628,P3-Persist,True,300,1500,1355269,565.874322,0.955325,0,0.0,100.0,46247.04,0.055445,189,0,0,0,2190,3,11,22708,25002.0,0.0,162632.28,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260629,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260629,BudgetDoS,True,300,1500,1261489,842.115487,0.588143,0.0,0.0,0.0,45722.88,0.411857,0,0,0,0,0,9,1049,246839,249107.0,0.0,151378.68,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260629,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260629,P3-Persist,True,300,1500,1367868,561.983566,0.955634,0.0,0.0,0.0,45763.2,0.048685,214,0,0,0,2202,6,9,22314,24584.0,0.0,164144.16,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup60_s20260610,1800,512,8,1000.0,10000.0,True,60,unique,0,1,0.0,,200,1,20260610,BudgetDoS,True,300,1500,1260194,6177.421569,0.078856,0.0,0.0,0.0,45339.84,0.921144,0,0,1636,0,0,10,747,247428,249677.0,0.0,151223.28,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup60_s20260610,1800,512,8,1000.0,10000.0,True,60,unique,0,1,0.0,,200,1,20260610,P3-Persist,True,300,1500,1358289,565.718034,0.928102,0,0,0,45460.8,0.079629,195,0,68,0,2194,3,11,22566,24821.0,0.0,162994.68,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup60_s20260611,1800,512,8,1000.0,10000.0,True,60,unique,0,1,0.0,,200,1,20260611,BudgetDoS,True,300,1500,1260178,6667.608466,0.073742,0,0.0,0.0,45319.68,0.926258,0,0,1636,0,0,11,738,247758,250006.0,0.0,151221.36,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup60_s20260611,1800,512,8,1000.0,10000.0,True,60,unique,0,1,0.0,,200,1,20260611,P3-Persist,True,300,1500,1351231,569.179023,0.926258,0.0,0.0,0.0,45420.48,0.082716,181,0,79,0,2180,6,9,22458,24711.0,0.0,162147.72,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup60_s20260613,1800,512,8,1000.0,10000.0,True,60,unique,0,1,0.0,,200,1,20260613,BudgetDoS,True,300,1500,1260197,6087.908213,0.078917,0,0.0,0.0,45541.44,0.921083,0,0,1665,0,0,10,751,248360,250619.0,0.0,151223.64,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup60_s20260613,1800,512,8,1000.0,10000.0,True,60,unique,0,1,0.0,,200,1,20260613,P3-Persist,True,300,1500,1370388,557.521562,0.937095,0.0,0.0,0.0,45662.4,0.067861,219,0,48,0,2224,3,5,22620,24885.0,0.0,164446.56,6832
