suite,m4_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,budget_per_window,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b100_s20260611,1800,512,8,1000.0,10000.0,100,20260611,StaticRL,True,300,1500,139097976,54271.547405,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1027,0,0,16691757.12,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b100_s20260611,1800,512,8,1000.0,10000.0,100,20260611,P3-NoPersist,True,300,1500,1260008,800.513342,0.614124,0.0,0.0,0.0,45319.68,0.386266,0,0,0,0,1555,11,102,22459,151200.96,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b100_s20260611,1800,512,8,1000.0,10000.0,100,20260611,P3-NoBudget,True,300,1500,138705854,54118.554038,1.0,0,0.0,100.0,5040120.96,0.010535,0,0,0,0,2297,252,0,0,16644702.48,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b100_s20260612,1800,512,8,1000.0,10000.0,100,20260612,StaticRL,True,300,1500,138924106,54014.038103,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1026,0,0,16670892.72,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b100_s20260612,1800,512,8,1000.0,10000.0,100,20260612,P3-NoPersist,True,300,1500,1260008,923.759531,0.530327,0.0,0.0,0.0,44956.8,0.470062,0,0,0,0,1347,9,119,22514,151200.96,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b100_s20260612,1800,512,8,1000.0,10000.0,100,20260612,P3-NoBudget,True,300,1500,138546593,53867.260109,1.0,0.0,0.0,0.0,5033367.36,0.005443,0,0,0,0,2275,280,0,0,16625591.16,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260610,1800,512,8,1000.0,10000.0,250,20260610,StaticRL,True,300,1500,138896375,53690.133359,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,0,1052,0,0,16667565.0,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260610,1800,512,8,1000.0,10000.0,250,20260610,P3-NoPersist,True,300,1500,3150007,1952.887167,0.623502,0,0.0,0.0,113238.72,0.377658,0,0,0,0,1585,21,58,22267,378000.84,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260610,1800,512,8,1000.0,10000.0,250,20260610,P3-NoBudget,True,300,1500,138505261,53538.948976,1.0,0,0.0,100.0,5033488.32,0.010437,0,0,0,0,2295,279,0,0,16620631.32,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260611,1800,512,8,1000.0,10000.0,250,20260611,StaticRL,True,300,1500,139097976,54271.547405,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1027,0,0,16691757.12,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260611,1800,512,8,1000.0,10000.0,250,20260611,P3-NoPersist,True,300,1500,3150007,1930.151348,0.636754,0.0,0.0,0.0,114387.84,0.364417,0,0,0,0,1599,26,81,22170,378000.84,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260611,1800,512,8,1000.0,10000.0,250,20260611,P3-NoBudget,True,300,1500,138705854,54118.554038,1.0,0,0.0,100.0,5040120.96,0.010535,0,0,0,0,2297,252,0,0,16644702.48,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260612,1800,512,8,1000.0,10000.0,250,20260612,StaticRL,True,300,1500,138924106,54014.038103,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1026,0,0,16670892.72,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260612,1800,512,8,1000.0,10000.0,250,20260612,P3-NoPersist,True,300,1500,3150007,1862.807215,0.657465,0,0.0,0.0,113198.4,0.342924,0,0,0,0,1663,21,58,22178,378000.84,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b250_s20260612,1800,512,8,1000.0,10000.0,250,20260612,P3-NoBudget,True,300,1500,138546593,53867.260109,1.0,0.0,0.0,0.0,5033367.36,0.005443,0,0,0,0,2275,280,0,0,16625591.16,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260610,1800,512,8,1000.0,10000.0,500,20260610,StaticRL,True,300,1500,138896375,53690.133359,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,0,1052,0,0,16667565.0,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260610,1800,512,8,1000.0,10000.0,500,20260610,P3-NoPersist,True,300,1500,6300006,3496.118757,0.69656,0.0,0.0,0.0,227586.24,0.306146,0,0,0,0,1751,45,47,21751,756000.72,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260610,1800,512,8,1000.0,10000.0,500,20260610,P3-NoBudget,True,300,1500,138505261,53538.948976,1.0,0,0.0,100.0,5033488.32,0.010437,0,0,0,0,2295,279,0,0,16620631.32,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260611,1800,512,8,1000.0,10000.0,500,20260611,StaticRL,True,300,1500,139097976,54271.547405,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1027,0,0,16691757.12,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260611,1800,512,8,1000.0,10000.0,500,20260611,P3-NoPersist,True,300,1500,6300006,3354.635783,0.732735,0.0,0.0,0.0,228916.8,0.269606,0,0,0,0,1831,41,63,21672,756000.72,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260611,1800,512,8,1000.0,10000.0,500,20260611,P3-NoBudget,True,300,1500,138705854,54118.554038,1.0,0,0.0,100.0,5040120.96,0.010535,0,0,0,0,2297,252,0,0,16644702.48,5168
