suite,m6_review_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,BudgetDoS,True,300,1500,1261414,833.717118,0.609589,0,0.0,0.0,44049.6,0.390411,0,0,0,0,0,99,969,22753,151369.68,4192
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,P3-NoPersist,True,300,1500,1260004,682.559047,0.743755,0.0,0.0,0.0,44815.68,0.257454,0,0,0,0,1788,54,44,2060,151200.48,5232
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,P3-NoCache,True,300,1500,1261414,833.717118,0.609589,0,0.0,0.0,44049.6,0.392425,0,0,0,0,0,99,64,2062,151369.68,4208
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,P3-NoBudget,True,300,1500,13939644,5616.294923,1.0,0.0,0.0,0.0,502750.08,0.008461,0,0,0,0,2205,265,0,0,1672757.28,5168
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260611,1800,512,8,100.0,1000.0,True,20260611,StaticRL,True,300,1500,14379561,5522.104839,1.0,0.0,0.0,0.0,500532.48,0.0,0,0,0,0,0,1155,0,0,1725547.32,0
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260611,1800,512,8,100.0,1000.0,True,20260611,ZephyrCache,True,300,1500,13949216,5356.841782,1.0,0.0,0.0,0.0,500532.48,0.0,0,0,0,0,2292,304,0,0,1673905.92,1024
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260611,1800,512,8,100.0,1000.0,True,20260611,BudgetDoS,True,300,1500,1261290,902.85612,0.536482,0,0.0,0.0,43444.8,0.463518,0,0,0,0,0,107,1207,22673,151354.8,4192
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260611,1800,512,8,100.0,1000.0,True,20260611,P3-NoPersist,True,300,1500,1260003,652.513206,0.741551,0,0.0,0.0,44291.52,0.259985,0,0,0,0,1867,61,42,2056,151200.36,5232
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260611,1800,512,8,100.0,1000.0,True,20260611,P3-NoCache,True,300,1500,1261290,902.85612,0.536482,0,0.0,0.0,43444.8,0.465822,0,0,0,0,0,107,93,2060,151354.8,4208
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260611,1800,512,8,100.0,1000.0,True,20260611,P3-NoBudget,True,300,1500,13948713,5356.648618,1.0,0.0,0.0,0.0,500532.48,0.006144,0,0,0,0,2292,303,0,0,1673845.56,5168
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260612,1800,512,8,100.0,1000.0,True,20260612,StaticRL,True,300,1500,14361005,5481.299618,1.0,0.0,0.0,0.0,503778.24,0.0,0,0,0,0,0,1079,0,0,1723320.6,0
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260612,1800,512,8,100.0,1000.0,True,20260612,ZephyrCache,True,300,1500,13950224,5324.512977,1.0,0.0,0.0,0.0,503778.24,0.0,0,0,0,0,2345,267,0,0,1674026.88,1024
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260612,1800,512,8,100.0,1000.0,True,20260612,BudgetDoS,True,300,1500,1261462,807.077415,0.596565,0,0.0,0.0,44130.24,0.403435,0,0,0,0,0,101,1057,22800,151375.44,4192
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260612,1800,512,8,100.0,1000.0,True,20260612,P3-NoPersist,True,300,1500,1260002,615.836755,0.780916,0.0,0.0,0.0,44674.56,0.220229,0,0,0,0,1972,72,30,2112,151200.24,5232
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260612,1800,512,8,100.0,1000.0,True,20260612,P3-NoCache,True,300,1500,1261462,807.077415,0.596565,0,0.0,0.0,44130.24,0.404962,0,0,0,0,0,101,54,2112,151375.44,4208
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260612,1800,512,8,100.0,1000.0,True,20260612,P3-NoBudget,True,300,1500,13949218,5324.129008,1.0,0.0,0.0,0.0,503778.24,0.00687,0,0,0,0,2345,265,0,0,1673906.16,5168
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,20260613,StaticRL,True,300,1500,14523859,5468.320407,1.0,0.0,0.0,0.0,507568.32,0.0,0,0,0,0,0,1053,0,0,1742863.08,0
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,20260613,ZephyrCache,True,300,1500,14141240,5324.262048,1.0,0.0,0.0,0.0,507568.32,0.0,0,0,0,0,2351,297,0,0,1696948.8,1024
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,20260613,BudgetDoS,True,300,1500,1261471,788.419375,0.60241,0.0,0.0,0.0,43585.92,0.39759,0,0,0,0,0,129,1056,23015,151376.52,4192
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,20260613,P3-NoPersist,True,300,1500,1260003,597.440967,0.794051,0,0.0,0.0,44432.64,0.208584,0,0,0,0,2026,80,42,2093,151200.36,5232
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,20260613,P3-NoCache,True,300,1500,1261471,788.419375,0.60241,0.0,0.0,0.0,43585.92,0.400226,0,0,0,0,0,129,54,2099,151376.52,4208
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,20260613,P3-NoBudget,True,300,1500,14139228,5323.504518,1.0,0.0,0.0,0.0,507568.32,0.008283,0,0,0,0,2351,293,0,0,1696707.36,5168
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,20260614,StaticRL,True,300,1500,14377589,5694.094653,1.0,0,0.0,0.0,506278.08,0.0,0,0,0,0,0,1032,0,0,1725310.68,0
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,20260614,ZephyrCache,True,300,1500,13979456,5536.418218,1.0,0,0.0,0.0,506278.08,0.0,0,0,0,0,2272,245,0,0,1677534.72,1024
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,20260614,BudgetDoS,True,300,1500,1261493,797.403919,0.626535,0.0,0.0,0.0,44009.28,0.373465,0,0,0,0,0,89,943,22930,151379.16,4192
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,20260614,P3-NoPersist,True,300,1500,1260005,647.484584,0.770693,0.0,0.0,0.0,44472.96,0.231287,0,0,0,0,1880,61,43,2082,151200.6,5232
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,20260614,P3-NoCache,True,300,1500,1261493,797.403919,0.626535,0.0,0.0,0.0,44009.28,0.375842,0,0,0,0,0,89,56,2081,151379.16,4208
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,20260614,P3-NoBudget,True,300,1500,13976438,5535.22297,1.0,0,0.0,0.0,506278.08,0.005941,0,0,0,0,2272,239,0,0,1677172.56,5168
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,20260610,StaticRL,True,300,1500,138896375,53690.133359,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,0,1052,0,0,16667565.0,0
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,20260610,ZephyrCache,True,300,1500,138507273,53539.72671,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,2295,283,0,0,16620872.76,1024
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,20260610,BudgetDoS,True,300,1500,1261535,816.527508,0.597217,0,0.0,0.0,45339.84,0.402783,0,0,0,0,0,10,1042,247428,151384.2,4192
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,20260610,P3-NoPersist,True,300,1500,1260008,908.44124,0.536142,0,0.0,0.0,45319.68,0.464631,0,0,0,0,1368,11,62,22566,151200.96,5232
