run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,suite,m14_phase,m14_scenario,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,estimated_attack_event_count,dup_removable_fraction
m14_confirm_unique_dup60_s20260624,P3-Persist,True,300,1500,1355770,560.004131,0.932229,0,0,0.0,0.0,100.0,100.0,45702.72,0.073546,190,0,64,0,2217,4,6,22713,162692.4,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260624,24980.0,0.0
m14_confirm_unique_dup60_s20260625,P3-Persist,True,300,1500,1349724,563.323873,0.921184,0.0,0.0,0.0,0.0,0.0,100.0,45601.92,0.081892,178,0,94,0,2203,3,3,22500,161966.88,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260625,24762.0,0.0
m14_confirm_unique_dup60_s20260626,P3-Persist,True,300,1500,1364842,565.62039,0.934185,0,0.0,0.0,0.0,100.0,100.0,46045.44,0.072396,208,0,66,0,2193,2,7,22475,163781.04,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260626,24759.0,0.0
m14_confirm_unique_dup60_s20260627,P3-Persist,True,300,1500,1358794,569.009213,0.928099,0.0,0.0,0.0,0.0,0.0,100.0,45884.16,0.075398,196,0,66,0,2179,3,9,22648,163055.28,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260627,24924.0,0.0
m14_confirm_unique_dup60_s20260628,P3-Persist,True,300,1500,1353753,583.262818,0.925808,0,0,100.0,0.0,100.0,100.0,46247.04,0.084164,186,0,72,0,2123,3,10,22708,162450.36,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260628,25002.0,0.0
m14_confirm_unique_dup60_s20260629,P3-Persist,True,300,1500,1364839,572.739824,0.935611,0,0.0,0.0,0.0,65.0,100.0,45743.04,0.068708,208,0,48,0,2161,7,9,22314,163780.68,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260629,24583.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260610,P3-Persist,True,300,1500,3780007,2266.191247,0.644762,0.0,0.0,0.0,0,100,100.0,145756.8,0.356784,21,4979,0,0,1632,8,55,22116,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260610,29346.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260611,P3-Persist,True,300,1500,3780007,2217.012903,0.665236,0,0.0,0.0,0.0,100.0,100.0,145797.12,0.336715,18,4982,0,0,1671,9,76,22051,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260611,29283.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260612,P3-Persist,True,300,1500,3780007,2183.712883,0.673017,0,0.0,0.0,0.0,0.0,0.0,145474.56,0.327372,18,4982,0,0,1701,5,55,22039,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260612,29255.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260613,P3-Persist,True,300,1500,3780006,2250.003571,0.640488,0.0,0.0,0.0,0,30.0,86.0,146039.04,0.359893,15,4985,0,0,1649,10,44,22149,453600.72,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260613,29393.0,0.0
