suite,m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,background_addr_pool_size,background_repeats_per_addr,background_repeat_interval_s,run_id,duration_s,warmup_s,num_bonded,rl_capacity,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260617,1800,300,512,8,20260617,P3-Persist,True,300,1500,1364522,758.489161,0.697017,0,0.0,2.0,0,100.0,100.0,49613.76,0.309957,207,0,0,0,1393,5,76,22410,163742.64,6832,0.0,305084,305084,0,0.0,2581,2581,0,0.0,2540,2540,0,0.0,249263,249263,0,0.0,0.697017,0.697017,0.309957,0,0,0,34,1891
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260617,1800,300,512,8,20260617,P3-NoPersist,True,300,1500,1260183,1261.444444,0.387059,0,0.0,0.0,0.0,0.0,0.0,49533.12,0.613328,0,0,0,0,807,9,276,22410,151221.96,5232,0.0,305084,305084,0,0.0,2581,2581,0,0.0,2540,2540,0,0.0,249263,249263,0,0.0,0.387059,0.387059,0.613328,0,0,0,34,1891
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260617,1800,300,512,8,20260617,BudgetDoS,True,300,1500,1260905,1378.038251,0.354514,0,0.0,0.0,0.0,0.0,0.0,49512.96,0.645486,0,0,0,0,0,10,1666,246807,151308.6,4192,0.0,305084,305084,0,0.0,2581,2581,0,0.0,2540,2540,0,0.0,249263,249263,0,0.0,0.354514,0.354514,0.645486,0,0,0,34,2506
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260618,1800,300,512,8,20260618,P3-Persist,True,300,1500,1360490,776.535388,0.691943,0.0,0.0,0.0,0,0.0,100.0,49452.48,0.312006,199,0,0,0,1347,12,37,22644,163258.8,6832,0.0,307032,307032,0,0.0,2532,2532,0,0.0,2567,2567,0,0.0,250564,250564,0,0.0,0.691943,0.691943,0.312006,0,0,0,35,1931
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260618,1800,300,512,8,20260618,P3-NoPersist,True,300,1500,1260195,853.79065,0.582938,0.0,0.0,0.0,0.0,0.0,0.0,49452.48,0.417457,0,0,0,0,1269,12,50,22644,151223.4,5232,0.0,307032,307032,0,0.0,2532,2532,0,0.0,2567,2567,0,0.0,250564,250564,0,0.0,0.582938,0.582938,0.417457,0,0,0,35,1931
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260618,1800,300,512,8,20260618,BudgetDoS,True,300,1500,1261447,864.596984,0.576224,0,0.0,0.0,0.0,0.0,0.0,49452.48,0.423776,0,0,0,0,0,12,1073,248111,151373.64,4192,0.0,307032,307032,0,0.0,2532,2532,0,0.0,2567,2567,0,0.0,250564,250564,0,0.0,0.576224,0.576224,0.423776,0,0,0,35,2532
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260619,1800,300,512,8,20260619,P3-Persist,True,300,1500,1373593,757.217751,0.707764,0.0,0.0,100.0,0,100.0,100.0,49734.72,0.300819,225,0,0,0,1391,5,55,22540,164831.16,6832,0.0,305744,305744,0,0.0,2563,2563,0,0.0,2540,2540,0,0.0,249703,249703,0,0.0,0.707764,0.707764,0.300819,0,0,0,28,1891
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260619,1800,300,512,8,20260619,P3-NoPersist,True,300,1500,1260178,1337.768577,0.367538,0.0,0.0,0.0,0.0,0.0,0.0,49714.56,0.632462,0,0,0,0,758,6,82,22540,151221.36,5232,0.0,305744,305744,0,0.0,2563,2563,0,0.0,2540,2540,0,0.0,249703,249703,0,0.0,0.367538,0.367538,0.632462,0,0,0,28,1891
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260619,1800,300,512,8,20260619,BudgetDoS,True,300,1500,1260877,1426.331448,0.344908,0.0,0.0,0.0,0.0,0.0,0.0,49694.4,0.655092,0,0,0,0,0,7,1679,247238,151305.24,4192,0.0,305744,305744,0,0.0,2563,2563,0,0.0,2540,2540,0,0.0,249703,249703,0,0.0,0.344908,0.344908,0.655092,0,0,0,28,2512
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260620,1800,300,512,8,20260620,P3-Persist,True,300,1500,1365023,743.881744,0.714008,0,0.0,0.0,0.0,100.0,100.0,49694.4,0.29144,208,0,0,0,1421,15,72,22458,163802.76,6832,0.0,306326,306326,0,0.0,2570,2570,0,0.0,2561,2561,0,0.0,249649,249649,0,0.0,0.714008,0.714008,0.29144,0,0,0,20,1909
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260620,1800,300,512,8,20260620,P3-NoPersist,True,300,1500,1260192,820.971987,0.597276,0,0.0,0.0,0.0,0.0,0.0,49694.4,0.402724,0,0,0,0,1328,15,94,22458,151223.04,5232,0.0,306326,306326,0,0.0,2570,2570,0,0.0,2561,2561,0,0.0,249649,249649,0,0.0,0.597276,0.597276,0.402724,0,0,0,20,1909
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260620,1800,300,512,8,20260620,BudgetDoS,True,300,1500,1261504,830.483213,0.591051,0,0.0,0.0,0.0,0.0,0.0,49694.4,0.408949,0,0,0,0,0,15,1051,247184,151380.48,4192,0.0,306326,306326,0,0.0,2570,2570,0,0.0,2561,2561,0,0.0,249649,249649,0,0.0,0.591051,0.591051,0.408949,0,0,0,20,2541
