epoch_min,loss_rate,benign_density_rpa_per_min,contrast,metric,n,mean,sd,ci95_low,ci95_high
1,0.4,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,5.04,29.159649,-8.607136,18.687136
1,0.4,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.072129,0.045404,0.05088,0.093379
1,0.4,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.12007,0.075023,0.084959,0.155182
1,0.4,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.115585,0.074778,-0.150582,-0.080588
1,0.4,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,21.168,32.358626,6.023697,36.312303
1,0.4,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.074306,0.048596,0.051563,0.09705
1,0.4,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.123636,0.080124,0.086137,0.161136
1,0.4,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.118755,0.080753,-0.156549,-0.080962
1,0.4,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,22.176,42.84078,2.125898,42.226102
5,0.0,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.306294,0.058668,0.278837,0.333751
5,0.0,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.306294,0.058668,0.278837,0.333751
5,0.0,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.299622,0.058678,-0.327084,-0.272159
5,0.0,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,77.616,48.628749,54.857045,100.374955
5,0.0,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.333738,0.102732,0.285658,0.381818
5,0.0,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.333738,0.102732,0.285658,0.381818
