suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,ZephyrCache,True,60,240,45722,439.634615,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,10,0,0,5486.64,1024
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,Freq-RL,True,60,240,47837,459.971154,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,27,0,0,5740.44,1056
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,BudgetDoS,True,60,240,46997,451.894231,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,27,0,0,5639.64,1120
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,P3-NoPersist,True,60,240,45840,440.769231,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,12,0,0,5500.8,2160
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,P3-NoCache,True,60,240,46997,451.894231,1.0,0.0,0.0,0.0,0.0,0.009615,0,0,0,0,0,27,0,0,5639.64,1136
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,P3-NoBudget,True,60,240,45960,441.923077,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,12,0,0,5515.2,2096
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,P3-NoTrust,True,60,240,45840,440.769231,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,12,0,0,5500.8,2144
ablation,m3abl_base_s20260603,128,8,100.0,0.0,1.1,15,6.0,20260603,P3-NoRL,True,60,240,45722,439.634615,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,10,0,0,5486.64,1104
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,ZephyrCache,True,60,240,545043,5619.0,1.0,0,0.0,0.0,123720.0,0.0,0,0,0,0,80,14,0,0,65405.16,1024
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,Freq-RL,True,60,240,546670,5635.773196,1.0,0,0.0,0.0,123720.0,0.0,0,0,0,0,0,27,0,0,65600.4,1056
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,BudgetDoS,True,60,240,48072,658.520548,0.752577,0,0.0,0.0,10980.0,0.247423,0,0,0,0,0,1,24,3758,5768.64,1120
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,P3-NoPersist,True,60,240,48003,657.575342,0.752577,0,0.0,0.0,10980.0,0.247423,0,0,0,0,69,1,2,347,5760.36,2160
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,P3-NoCache,True,60,240,48072,658.520548,0.752577,0,0.0,0.0,10980.0,0.247423,0,0,0,0,0,1,2,347,5768.64,1136
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,P3-NoBudget,True,60,240,545400,5622.680412,1.0,0,0.0,100.0,123720.0,0.020619,0,0,0,0,80,17,0,0,65448.0,2096
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,P3-NoTrust,True,60,240,48003,657.575342,0.752577,0,0.0,0.0,10980.0,0.247423,0,0,0,0,69,1,24,3758,5760.36,2144
ablation,m3abl_flood_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,P3-NoRL,True,60,240,48003,657.575342,0.752577,0,0.0,0.0,10980.0,0.247423,0,0,0,0,69,1,2,347,5760.36,1104
ablation,m3abl_flood_s20260531,128,8,100.0,1000.0,1.1,15,6.0,20260531,ZephyrCache,True,60,240,525001,4525.87069,1.0,0.0,0.0,0.0,119100.0,0.0,0,0,0,0,103,12,0,0,63000.12,1024
ablation,m3abl_flood_s20260531,128,8,100.0,1000.0,1.1,15,6.0,20260531,Freq-RL,True,60,240,527365,4546.25,1.0,0.0,0.0,0.0,119100.0,0.0,0,0,0,0,0,31,0,0,63283.8,1056
ablation,m3abl_flood_s20260531,128,8,100.0,1000.0,1.1,15,6.0,20260531,BudgetDoS,True,60,240,48075,641.0,0.646552,0,0.0,0.0,10860.0,0.353448,0,0,0,0,0,0,41,3608,5769.0,1120
ablation,m3abl_flood_s20260531,128,8,100.0,1000.0,1.1,15,6.0,20260531,P3-NoPersist,True,60,240,48001,640.013333,0.646552,0,0.0,0.0,10860.0,0.353448,0,0,0,0,74,0,0,344,5760.12,2160
