suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,FullScan-Host,True,60,240,13136,821.0,1.0,0.0,0.0,0.0,1652.0,0.0,0,0,0,0,0,0,0,0,1576.32,0
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,StaticRL,True,60,240,6576,411.0,1.0,0.0,0.0,0.0,826.0,0.0,0,0,0,0,0,0,0,0,789.12,0
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,ZephyrCache,True,60,240,6560,410.0,1.0,0.0,0.0,0.0,826.0,0.0,0,0,0,0,16,0,0,0,787.2,1024
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,LRU-RL,True,60,240,6576,411.0,1.0,0.0,0.0,0.0,826.0,0.0,0,0,0,0,0,0,0,0,789.12,160
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,Freq-RL,True,60,240,6576,411.0,1.0,0.0,0.0,0.0,826.0,0.0,0,0,0,0,0,0,0,0,789.12,160
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,TrustOnly,True,60,240,6576,411.0,1.0,0.0,0.0,0.0,826.0,0.0,0,0,0,0,0,0,0,0,789.12,176
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,BudgetDoS,True,60,240,3216,201.0,1.0,0.0,0.0,0.0,392.0,0.0,0,0,0,0,0,0,0,217,385.92,224
p0,m3p0_nb16_rl8_atk100_s20260601,16,8,100.0,100.0,1.1,15,6.0,20260601,P3-NoPersist,True,60,240,3200,200.0,1.0,0.0,0.0,0.0,392.0,0.0,0,0,0,0,16,0,0,15,384.0,1264
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,FullScan-Host,True,60,240,12184,1523.0,1.0,0.0,0.0,0.0,1480.0,0.0,0,0,0,0,0,0,0,0,1462.08,0
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,StaticRL,True,60,240,6096,762.0,1.0,0.0,0.0,0.0,740.0,0.0,0,0,0,0,0,0,0,0,731.52,0
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,ZephyrCache,True,60,240,6089,761.125,1.0,0.0,0.0,0.0,740.0,0.0,0,0,0,0,7,0,0,0,730.68,1024
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,LRU-RL,True,60,240,6096,762.0,1.0,0.0,0.0,0.0,740.0,0.0,0,0,0,0,0,0,0,0,731.52,160
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,Freq-RL,True,60,240,6096,762.0,1.0,0.0,0.0,0.0,740.0,0.0,0,0,0,0,0,0,0,0,731.52,160
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,TrustOnly,True,60,240,6096,762.0,1.0,0.0,0.0,0.0,740.0,0.0,0,0,0,0,0,0,0,0,731.52,176
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,BudgetDoS,True,60,240,3208,401.0,1.0,0.0,0.0,0.0,380.0,0.0,0,0,0,0,0,0,0,180,384.96,224
p0,m3p0_nb16_rl8_atk100_s20260602,16,8,100.0,100.0,1.1,15,6.0,20260602,P3-NoPersist,True,60,240,3201,400.125,1.0,0.0,0.0,0.0,380.0,0.0,0,0,0,0,7,0,0,15,384.12,1264
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,FullScan-Host,True,60,240,12631,1804.428571,1.0,0,0.0,0.0,1536.0,0.0,0,0,0,0,0,0,0,0,1515.72,0
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,StaticRL,True,60,240,6319,902.714286,1.0,0,0.0,0.0,768.0,0.0,0,0,0,0,0,0,0,0,758.28,0
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,ZephyrCache,True,60,240,6313,901.857143,1.0,0,0.0,0.0,768.0,0.0,0,0,0,0,6,0,0,0,757.56,1024
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,LRU-RL,True,60,240,6319,902.714286,1.0,0,0.0,0.0,768.0,0.0,0,0,0,0,0,0,0,0,758.28,160
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,Freq-RL,True,60,240,6319,902.714286,1.0,0,0.0,0.0,768.0,0.0,0,0,0,0,0,0,0,0,758.28,160
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,TrustOnly,True,60,240,6319,902.714286,1.0,0,0.0,0.0,768.0,0.0,0,0,0,0,0,0,0,0,758.28,176
p0,m3p0_nb16_rl8_atk100_s20260603,16,8,100.0,100.0,1.1,15,6.0,20260603,BudgetDoS,True,60,240,3207,458.142857,1.0,0,0.0,0.0,404.0,0.0,0,0,0,0,0,0,0,182,384.84,224
