run_id,event_id,ts_ms,source_type,device_id,addr_type,rpa_epoch,rssi_dbm,payload_len,rpa_value
paper_walkthrough,122,38357,attack,,rpa,122,-67.35,17,A122
paper_walkthrough,123,39383,attack,,rpa,124,-67.68,22,A124
paper_walkthrough,124,39970,attack,,rpa,123,-74.11,18,A123
paper_walkthrough,125,40187,attack,,rpa,126,-57.02,12,A126
paper_walkthrough,126,40802,attack,,rpa,125,-75.73,11,A125
paper_walkthrough,127,41066,attack,,rpa,127,-79.75,15,A127
paper_walkthrough,128,41160,attack,,rpa,129,-85.29,28,A129
paper_walkthrough,129,41252,attack,,rpa,130,-70.18,18,A130
paper_walkthrough,130,41741,non_rpa,,non_rpa,0,-73.39,24,
paper_walkthrough,131,41902,attack,,rpa,128,-75.17,22,A128
paper_walkthrough,132,42182,background,,rpa,0,-91.17,23,B133
paper_walkthrough,133,42229,attack,,rpa,136,-66.5,31,A136
paper_walkthrough,134,42375,non_rpa,,non_rpa,0,-84.11,29,
paper_walkthrough,135,42664,attack,,rpa,135,-62.22,20,A135
paper_walkthrough,136,42851,non_rpa,,non_rpa,0,-72.3,8,
paper_walkthrough,137,42955,attack,,rpa,134,-58.59,17,A134
paper_walkthrough,138,42966,background,,rpa,0,-89.72,14,B132
paper_walkthrough,139,43266,attack,,rpa,141,-67.02,28,A141
paper_walkthrough,140,43268,non_rpa,,non_rpa,0,-78.21,19,
paper_walkthrough,141,43408,legit_bonded,dev_0001,rpa,0,-62.71,24,Ldev_0001:0
paper_walkthrough,142,43910,attack,,rpa,140,-65.33,14,A140
paper_walkthrough,143,44211,attack,,rpa,145,-67.39,12,A145
paper_walkthrough,144,44306,legit_bonded,dev_0006,rpa,0,-71.2,26,Ldev_0006:0
paper_walkthrough,145,44997,attack,,rpa,144,-66.2,9,A144
paper_walkthrough,146,45038,attack,,rpa,146,-77.03,14,A146
paper_walkthrough,147,46535,attack,,rpa,147,-68.47,16,A147
paper_walkthrough,148,46600,attack,,rpa,148,-62.7,21,A148
paper_walkthrough,149,47394,attack,,rpa,151,-69.4,20,A151
paper_walkthrough,150,47694,attack,,rpa,149,-73.08,24,A149
paper_walkthrough,151,47711,attack,,rpa,150,-70.9,18,A150
paper_walkthrough,152,48504,legit_bonded,dev_0005,rpa,0,-66.46,25,Ldev_0005:0
paper_walkthrough,153,48600,attack,,rpa,153,-62.42,25,A153
paper_walkthrough,154,48746,attack,,rpa,154,-78.25,18,A154
paper_walkthrough,155,49177,legit_bonded,dev_0002,rpa,0,-58.51,16,Ldev_0002:0
paper_walkthrough,156,49934,attack,,rpa,156,-75.15,24,A156
paper_walkthrough,157,50015,attack,,rpa,158,-72.46,22,A158
paper_walkthrough,158,50215,attack,,rpa,160,-68.53,20,A160
paper_walkthrough,159,50463,attack,,rpa,157,-68.13,19,A157
paper_walkthrough,160,50975,attack,,rpa,159,-71.74,18,A159
paper_walkthrough,161,51043,attack,,rpa,162,-74.8,31,A162
paper_walkthrough,162,51654,legit_bonded,dev_0004,rpa,0,-64.04,26,Ldev_0004:0
paper_walkthrough,163,52003,attack,,rpa,163,-70.03,23,A163
paper_walkthrough,164,52917,attack,,rpa,164,-72.2,15,A164
paper_walkthrough,165,53267,attack,,rpa,168,-53.01,15,A168
paper_walkthrough,166,53563,attack,,rpa,167,-65.36,26,A167
paper_walkthrough,167,53615,attack,,rpa,166,-59.62,23,A166
paper_walkthrough,168,53791,legit_bonded,dev_0003,rpa,0,-47.57,12,Ldev_0003:0
paper_walkthrough,169,54163,attack,,rpa,170,-69.99,18,A170
paper_walkthrough,170,54286,attack,,rpa,171,-71.6,17,A171
paper_walkthrough,171,54427,non_rpa,,non_rpa,0,-81.33,11,
paper_walkthrough,172,54436,non_rpa,,non_rpa,0,-77.66,30,
paper_walkthrough,173,54530,attack,,rpa,169,-77.58,11,A169
paper_walkthrough,174,55016,attack,,rpa,176,-60.28,23,A176
paper_walkthrough,175,55164,attack,,rpa,174,-79.26,24,A174
paper_walkthrough,176,55302,attack,,rpa,175,-67.68,28,A175
paper_walkthrough,177,56680,attack,,rpa,177,-67.18,17,A177
paper_walkthrough,178,56911,attack,,rpa,178,-81.58,31,A178
paper_walkthrough,179,58865,attack,,rpa,179,-67.98,25,A179
paper_walkthrough,180,59064,attack,,rpa,185,-66.68,12,A185
paper_walkthrough,181,59069,attack,,rpa,183,-73.41,24,A183
paper_walkthrough,182,59193,background,,rpa,0,-81.0,27,B181
paper_walkthrough,183,59230,attack,,rpa,186,-65.65,15,A186
paper_walkthrough,184,59256,attack,,rpa,184,-61.02,18,A184
paper_walkthrough,185,59310,legit_bonded,dev_0005,rpa,0,-63.92,16,Ldev_0005:0
paper_walkthrough,186,59686,non_rpa,,non_rpa,0,-72.64,10,
paper_walkthrough,187,59954,attack,,rpa,182,-61.21,9,A182
paper_walkthrough,188,61019,attack,,rpa,189,-71.32,16,A189
paper_walkthrough,189,61780,attack,,rpa,188,-64.06,10,A188
paper_walkthrough,190,63100,attack,,rpa,191,-71.87,8,A191
paper_walkthrough,191,63425,attack,,rpa,192,-76.31,9,A192
paper_walkthrough,192,63447,non_rpa,,non_rpa,0,-67.4,11,
paper_walkthrough,193,63723,attack,,rpa,190,-67.31,31,A190
paper_walkthrough,194,64269,attack,,rpa,199,-60.2,21,A199
paper_walkthrough,195,64339,non_rpa,,non_rpa,0,-70.74,9,
paper_walkthrough,196,64349,attack,,rpa,198,-69.4,30,A198
paper_walkthrough,197,64370,background,,rpa,1,-86.51,10,B195
paper_walkthrough,198,64429,attack,,rpa,197,-71.3,17,A197
paper_walkthrough,199,64481,background,,rpa,1,-77.7,20,B194
paper_walkthrough,200,64748,non_rpa,,non_rpa,0,-77.24,12,
paper_walkthrough,201,64773,attack,,rpa,196,-64.44,25,A196
paper_walkthrough,202,65033,background,,rpa,1,-75.91,29,B204
paper_walkthrough,203,65416,legit_bonded,dev_0000,rpa,1,-69.53,21,Ldev_0000:1
paper_walkthrough,204,65468,legit_bonded,dev_0002,rpa,1,-71.43,14,Ldev_0002:1
paper_walkthrough,205,65733,attack,,rpa,205,-66.12,12,A205
paper_walkthrough,206,67303,attack,,rpa,207,-67.13,10,A207
paper_walkthrough,207,67511,attack,,rpa,209,-76.0,23,A209
paper_walkthrough,208,67666,attack,,rpa,206,-67.88,26,A206
paper_walkthrough,209,67972,attack,,rpa,208,-78.11,23,A208
paper_walkthrough,210,69150,non_rpa,,non_rpa,0,-69.38,22,
paper_walkthrough,211,69211,legit_bonded,dev_0000,rpa,1,-61.04,13,Ldev_0000:1
paper_walkthrough,212,69393,attack,,rpa,214,-77.88,12,A214
paper_walkthrough,213,69534,non_rpa,,non_rpa,0,-73.41,10,
paper_walkthrough,214,69797,legit_bonded,dev_0002,rpa,1,-68.59,13,Ldev_0002:1
paper_walkthrough,215,69836,attack,,rpa,212,-72.47,12,A212
paper_walkthrough,216,69872,attack,,rpa,213,-73.94,20,A213
paper_walkthrough,217,70644,non_rpa,,non_rpa,0,-71.11,15,
paper_walkthrough,218,70692,attack,,rpa,220,-80.3,8,A220
paper_walkthrough,219,70783,non_rpa,,non_rpa,0,-76.47,10,
paper_walkthrough,220,70817,legit_bonded,dev_0002,rpa,1,-70.83,23,Ldev_0002:1
paper_walkthrough,221,70846,background,,rpa,1,-73.98,17,B218
paper_walkthrough,222,70863,attack,,rpa,219,-57.21,27,A219
paper_walkthrough,223,70922,non_rpa,,non_rpa,0,-75.73,21,
paper_walkthrough,224,71131,non_rpa,,non_rpa,0,-73.62,19,
paper_walkthrough,225,71793,attack,,rpa,225,-81.46,9,A225
paper_walkthrough,226,71933,background,,rpa,1,-81.77,18,B224
paper_walkthrough,227,72029,attack,,rpa,228,-66.38,11,A228
paper_walkthrough,228,72542,attack,,rpa,229,-78.89,17,A229
paper_walkthrough,229,72575,non_rpa,,non_rpa,0,-75.4,10,
paper_walkthrough,230,72679,attack,,rpa,227,-66.46,18,A227
paper_walkthrough,231,73020,attack,,rpa,232,-65.12,27,A232
paper_walkthrough,232,73567,attack,,rpa,234,-71.43,27,A234
paper_walkthrough,233,73691,legit_bonded,dev_0004,rpa,1,-70.52,14,Ldev_0004:1
paper_walkthrough,234,73826,attack,,rpa,233,-66.62,31,A233
paper_walkthrough,235,74067,attack,,rpa,236,-79.07,12,A236
paper_walkthrough,236,74260,attack,,rpa,235,-74.26,11,A235
paper_walkthrough,237,75358,background,,rpa,1,-87.95,25,B237
paper_walkthrough,238,76295,attack,,rpa,241,-72.83,28,A241
paper_walkthrough,239,76550,attack,,rpa,239,-61.26,18,A239
paper_walkthrough,240,76670,background,,rpa,1,-81.98,11,B238
paper_walkthrough,241,76821,attack,,rpa,240,-67.08,10,A240
paper_walkthrough,242,77157,attack,,rpa,242,-76.93,26,A242
paper_walkthrough,243,77257,attack,,rpa,243,-61.79,14,A243
paper_walkthrough,244,77612,non_rpa,,non_rpa,0,-77.25,14,
paper_walkthrough,245,78248,legit_bonded,dev_0000,rpa,1,-57.8,21,Ldev_0000:1
paper_walkthrough,246,78441,attack,,rpa,247,-71.76,18,A247
paper_walkthrough,247,78515,attack,,rpa,246,-67.72,17,A246
paper_walkthrough,248,79303,attack,,rpa,248,-74.15,12,A248
paper_walkthrough,249,80595,attack,,rpa,250,-69.23,12,A250
paper_walkthrough,250,80623,attack,,rpa,249,-64.75,19,A249
paper_walkthrough,251,80636,attack,,rpa,251,-69.1,24,A251
paper_walkthrough,252,81403,attack,,rpa,255,-67.89,8,A255
paper_walkthrough,253,81576,attack,,rpa,257,-72.02,30,A257
paper_walkthrough,254,81747,non_rpa,,non_rpa,0,-74.78,30,
paper_walkthrough,255,81775,attack,,rpa,254,-74.94,21,A254
paper_walkthrough,256,81822,attack,,rpa,256,-73.89,21,A256
paper_walkthrough,257,81831,attack,,rpa,253,-68.33,22,A253
paper_walkthrough,258,81978,legit_bonded,dev_0000,rpa,1,-62.63,16,Ldev_0000:1
paper_walkthrough,259,82026,legit_bonded,dev_0001,rpa,1,-61.39,19,Ldev_0001:1
paper_walkthrough,260,82855,attack,,rpa,260,-68.83,11,A260
paper_walkthrough,261,83207,attack,,rpa,262,-69.78,24,A262
paper_walkthrough,262,83303,attack,,rpa,263,-65.63,17,A263
paper_walkthrough,263,83615,background,,rpa,1,-73.64,19,B261
paper_walkthrough,264,84089,attack,,rpa,265,-76.75,17,A265
paper_walkthrough,265,84380,attack,,rpa,264,-59.14,29,A264
paper_walkthrough,266,85379,attack,,rpa,267,-68.58,11,A267
paper_walkthrough,267,85386,attack,,rpa,266,-84.38,27,A266
paper_walkthrough,268,85789,attack,,rpa,269,-65.31,26,A269
paper_walkthrough,269,85955,attack,,rpa,268,-61.38,24,A268
paper_walkthrough,270,86344,attack,,rpa,271,-68.53,15,A271
paper_walkthrough,271,86884,attack,,rpa,272,-72.72,22,A272
paper_walkthrough,272,86925,legit_bonded,dev_0003,rpa,1,-44.89,22,Ldev_0003:1
paper_walkthrough,273,87154,background,,rpa,1,-79.52,13,B274
paper_walkthrough,274,87454,attack,,rpa,275,-66.68,16,A275
paper_walkthrough,275,87656,legit_bonded,dev_0001,rpa,1,-65.21,21,Ldev_0001:1
paper_walkthrough,276,88111,attack,,rpa,278,-73.75,26,A278
paper_walkthrough,277,88504,non_rpa,,non_rpa,0,-75.02,28,
paper_walkthrough,278,88638,legit_bonded,dev_0002,rpa,1,-87.91,22,Ldev_0002:1
paper_walkthrough,279,88716,attack,,rpa,277,-70.44,8,A277
paper_walkthrough,280,90213,attack,,rpa,281,-67.34,14,A281
paper_walkthrough,281,90419,attack,,rpa,283,-62.88,27,A283
paper_walkthrough,282,90484,attack,,rpa,280,-75.51,14,A280
paper_walkthrough,283,90529,attack,,rpa,282,-64.45,25,A282
paper_walkthrough,284,90718,non_rpa,,non_rpa,0,-71.23,8,
paper_walkthrough,285,91119,attack,,rpa,286,-72.43,28,A286
paper_walkthrough,286,91324,attack,,rpa,285,-62.61,25,A285
paper_walkthrough,287,91700,attack,,rpa,287,-80.07,8,A287
paper_walkthrough,288,91779,non_rpa,,non_rpa,0,-68.49,18,
paper_walkthrough,289,91836,attack,,rpa,288,-69.77,10,A288
paper_walkthrough,290,91955,attack,,rpa,289,-72.92,19,A289
paper_walkthrough,291,92064,attack,,rpa,291,-79.24,20,A291
paper_walkthrough,292,92950,attack,,rpa,293,-65.61,17,A293
paper_walkthrough,293,92979,attack,,rpa,292,-74.56,23,A292
paper_walkthrough,294,93193,legit_bonded,dev_0000,rpa,1,-69.42,31,Ldev_0000:1
paper_walkthrough,295,93389,non_rpa,,non_rpa,0,-75.05,22,
paper_walkthrough,296,93574,attack,,rpa,298,-65.57,20,A298
paper_walkthrough,297,93609,legit_bonded,dev_0005,rpa,1,-57.49,20,Ldev_0005:1
paper_walkthrough,298,93659,attack,,rpa,296,-75.94,16,A296
paper_walkthrough,299,93732,attack,,rpa,297,-66.17,31,A297
paper_walkthrough,300,93941,non_rpa,,non_rpa,0,-69.83,20,
paper_walkthrough,301,94533,attack,,rpa,302,-78.65,8,A302
paper_walkthrough,302,94610,legit_bonded,dev_0001,rpa,1,-55.57,26,Ldev_0001:1
paper_walkthrough,303,94781,non_rpa,,non_rpa,0,-82.81,12,
paper_walkthrough,304,94943,attack,,rpa,303,-74.56,19,A303
paper_walkthrough,305,95138,attack,,rpa,305,-60.05,29,A305
paper_walkthrough,306,95171,attack,,rpa,308,-58.69,20,A308
paper_walkthrough,307,95392,attack,,rpa,306,-65.46,27,A306
paper_walkthrough,308,95544,attack,,rpa,307,-71.24,12,A307
paper_walkthrough,309,96268,attack,,rpa,310,-66.99,26,A310
paper_walkthrough,310,96292,background,,rpa,1,-84.28,11,B309
paper_walkthrough,311,97750,attack,,rpa,311,-80.07,13,A311
paper_walkthrough,312,98013,attack,,rpa,313,-64.53,9,A313
paper_walkthrough,313,98420,attack,,rpa,314,-75.27,23,A314
paper_walkthrough,314,98481,non_rpa,,non_rpa,0,-91.11,23,
paper_walkthrough,315,98629,attack,,rpa,312,-73.91,22,A312
paper_walkthrough,316,99213,attack,,rpa,316,-63.03,14,A316
paper_walkthrough,317,99854,attack,,rpa,317,-69.65,12,A317
paper_walkthrough,318,100100,attack,,rpa,319,-69.48,18,A319
paper_walkthrough,319,100190,attack,,rpa,320,-73.72,20,A320
paper_walkthrough,320,100942,legit_bonded,dev_0001,rpa,1,-57.8,17,Ldev_0001:1
paper_walkthrough,321,101162,attack,,rpa,322,-73.36,19,A322
paper_walkthrough,322,101421,attack,,rpa,321,-67.46,8,A321
paper_walkthrough,323,101481,non_rpa,,non_rpa,0,-68.85,29,
paper_walkthrough,324,102421,attack,,rpa,325,-68.6,14,A325
paper_walkthrough,325,102438,attack,,rpa,324,-69.87,30,A324
paper_walkthrough,326,103775,attack,,rpa,326,-66.02,16,A326
paper_walkthrough,327,104318,attack,,rpa,327,-69.1,12,A327
paper_walkthrough,328,104345,attack,,rpa,328,-78.0,24,A328
paper_walkthrough,329,105089,non_rpa,,non_rpa,0,-77.3,20,
paper_walkthrough,330,105090,non_rpa,,non_rpa,0,-67.95,19,
paper_walkthrough,331,105294,attack,,rpa,330,-69.57,30,A330
paper_walkthrough,332,105516,attack,,rpa,331,-71.54,28,A331
paper_walkthrough,333,105724,legit_bonded,dev_0007,rpa,1,-69.18,18,Ldev_0007:1
paper_walkthrough,334,106116,attack,,rpa,335,-69.69,21,A335
paper_walkthrough,335,106937,attack,,rpa,336,-70.66,11,A336
paper_walkthrough,336,106974,attack,,rpa,334,-69.33,11,A334
paper_walkthrough,337,107239,non_rpa,,non_rpa,0,-73.9,22,
paper_walkthrough,338,107440,legit_bonded,dev_0000,rpa,1,-67.29,22,Ldev_0000:1
paper_walkthrough,339,107892,attack,,rpa,338,-70.64,29,A338
paper_walkthrough,340,108108,legit_bonded,dev_0000,rpa,1,-59.53,29,Ldev_0000:1
paper_walkthrough,341,108279,attack,,rpa,341,-77.52,18,A341
paper_walkthrough,342,109619,attack,,rpa,343,-77.42,20,A343
paper_walkthrough,343,109653,attack,,rpa,342,-71.09,13,A342
paper_walkthrough,344,110617,background,,rpa,1,-80.97,21,B344
paper_walkthrough,345,111378,background,,rpa,1,-82.81,8,B345
paper_walkthrough,346,111789,attack,,rpa,346,-75.12,31,A346
paper_walkthrough,347,112615,attack,,rpa,348,-73.11,23,A348
paper_walkthrough,348,112798,non_rpa,,non_rpa,0,-71.7,11,
paper_walkthrough,349,112886,attack,,rpa,347,-69.04,26,A347
paper_walkthrough,350,113104,attack,,rpa,351,-63.51,30,A351
paper_walkthrough,351,113314,attack,,rpa,350,-71.26,20,A350
paper_walkthrough,352,115002,non_rpa,,non_rpa,0,-71.25,9,
paper_walkthrough,353,115022,attack,,rpa,356,-77.06,22,A356
paper_walkthrough,354,115193,non_rpa,,non_rpa,0,-72.64,20,
paper_walkthrough,355,115446,background,,rpa,1,-83.0,8,B352
paper_walkthrough,356,115516,attack,,rpa,353,-64.02,31,A353
paper_walkthrough,357,115595,attack,,rpa,355,-70.23,18,A355
paper_walkthrough,358,115663,attack,,rpa,354,-69.39,28,A354
paper_walkthrough,359,115799,non_rpa,,non_rpa,0,-74.5,14,
paper_walkthrough,360,116916,attack,,rpa,360,-78.61,28,A360
paper_walkthrough,361,118069,background,,rpa,1,-92.97,19,B361
paper_walkthrough,362,118647,attack,,rpa,363,-67.67,22,A363
paper_walkthrough,363,118871,non_rpa,,non_rpa,0,-71.73,20,
paper_walkthrough,364,118873,background,,rpa,1,-75.42,12,B362
paper_walkthrough,365,119286,non_rpa,,non_rpa,0,-78.8,12,
paper_walkthrough,366,119502,attack,,rpa,365,-68.13,24,A365
paper_walkthrough,367,119505,non_rpa,,non_rpa,0,-80.64,9,
paper_walkthrough,368,119706,attack,,rpa,366,-72.92,15,A366
paper_walkthrough,369,120309,legit_bonded,dev_0001,rpa,2,-55.12,23,Ldev_0001:2
paper_walkthrough,370,121219,attack,,rpa,372,-77.53,25,A372
paper_walkthrough,371,121474,attack,,rpa,371,-76.23,11,A371
paper_walkthrough,372,121969,attack,,rpa,370,-68.11,27,A370
paper_walkthrough,373,121991,non_rpa,,non_rpa,0,-73.05,20,
paper_walkthrough,374,122737,attack,,rpa,374,-70.34,18,A374
paper_walkthrough,375,123134,legit_bonded,dev_0001,rpa,2,-61.55,29,Ldev_0001:2
paper_walkthrough,376,123206,attack,,rpa,377,-73.85,29,A377
paper_walkthrough,377,123908,legit_bonded,dev_0000,rpa,2,-55.59,16,Ldev_0000:2
paper_walkthrough,378,124186,non_rpa,,non_rpa,0,-84.13,8,
paper_walkthrough,379,124352,background,,rpa,2,-75.85,30,B379
paper_walkthrough,380,124967,background,,rpa,2,-82.21,28,B378
paper_walkthrough,381,125691,attack,,rpa,381,-73.89,10,A381
paper_walkthrough,382,126770,background,,rpa,2,-80.01,23,B382
paper_walkthrough,383,127128,attack,,rpa,384,-67.45,10,A384
paper_walkthrough,384,127294,non_rpa,,non_rpa,0,-84.77,10,
paper_walkthrough,385,127330,attack,,rpa,383,-73.27,19,A383
paper_walkthrough,386,128097,attack,,rpa,387,-70.69,28,A387
paper_walkthrough,387,128255,attack,,rpa,388,-69.7,28,A388
paper_walkthrough,388,128382,attack,,rpa,386,-63.24,26,A386
paper_walkthrough,389,130274,attack,,rpa,392,-73.67,19,A392
paper_walkthrough,390,130359,background,,rpa,2,-87.63,14,B390
paper_walkthrough,391,130377,attack,,rpa,391,-68.41,21,A391
paper_walkthrough,392,130570,non_rpa,,non_rpa,0,-68.71,10,
paper_walkthrough,393,130746,background,,rpa,2,-84.01,26,B389
paper_walkthrough,394,131338,attack,,rpa,394,-79.08,26,A394
paper_walkthrough,395,132566,attack,,rpa,395,-72.07,23,A395
paper_walkthrough,396,132714,attack,,rpa,396,-72.05,26,A396
paper_walkthrough,397,133068,background,,rpa,2,-80.0,11,B398
paper_walkthrough,398,133333,legit_bonded,dev_0000,rpa,2,-59.33,12,Ldev_0000:2
paper_walkthrough,399,133388,non_rpa,,non_rpa,0,-84.95,21,
paper_walkthrough,400,133629,attack,,rpa,400,-68.69,23,A400
paper_walkthrough,401,133668,attack,,rpa,399,-64.29,19,A399
paper_walkthrough,402,135004,attack,,rpa,404,-74.54,18,A404
paper_walkthrough,403,135082,attack,,rpa,403,-73.36,21,A403
paper_walkthrough,404,135429,attack,,rpa,405,-67.98,12,A405
paper_walkthrough,405,135703,legit_bonded,dev_0007,rpa,2,-71.36,15,Ldev_0007:2
paper_walkthrough,406,136865,attack,,rpa,406,-76.3,15,A406
paper_walkthrough,407,137202,attack,,rpa,408,-61.12,11,A408
paper_walkthrough,408,137675,attack,,rpa,410,-59.9,8,A410
paper_walkthrough,409,137865,legit_bonded,dev_0005,rpa,2,-61.17,15,Ldev_0005:2
paper_walkthrough,410,137962,attack,,rpa,409,-75.58,31,A409
paper_walkthrough,411,138787,legit_bonded,dev_0001,rpa,2,-69.81,25,Ldev_0001:2
paper_walkthrough,412,138825,attack,,rpa,413,-60.69,13,A413
paper_walkthrough,413,138933,attack,,rpa,414,-79.38,21,A414
paper_walkthrough,414,138958,background,,rpa,2,-95.18,19,B412
paper_walkthrough,415,138965,attack,,rpa,415,-62.73,9,A415
paper_walkthrough,416,139075,attack,,rpa,417,-78.81,8,A417
paper_walkthrough,417,139499,attack,,rpa,418,-62.49,25,A418
paper_walkthrough,418,139986,background,,rpa,2,-85.0,21,B416
paper_walkthrough,419,141076,attack,,rpa,423,-64.46,12,A423
paper_walkthrough,420,141262,attack,,rpa,421,-68.5,30,A421
paper_walkthrough,421,141370,background,,rpa,2,-74.44,18,B419
paper_walkthrough,422,141531,attack,,rpa,422,-67.89,23,A422
paper_walkthrough,423,141780,non_rpa,,non_rpa,0,-67.67,13,
